"bin","bbl"
1086268,1000010010
1060379,1020250047
1060378,1020250046
1060377,1020250044
1060376,1020250043
1060375,1020250041
1060374,1020250040
1060372,1020250034
1060371,1020250029
1060370,1020250028
1060369,1020250027
1086994,1020250026
1060368,1020250026
1089135,1020250025
1060367,1020250025
1089134,1020250024
1076703,1020250024
1086993,1020250023
1060366,1020250023
1086992,1020250021
1060365,1020250021
1060364,1020250020
1086991,1020250019
1060363,1020250019
1086505,1020250018
1060362,1020250018
1086990,1020250017
1060361,1020250017
1060360,1020250016
1086988,1020250015
1060359,1020250015
1060358,1020250014
1086987,1020250013
1060357,1020250013
1086986,1020250012
1060356,1020250012
1089574,1020250011
1060355,1020250011
1086985,1020250009
1060354,1020250009
1086504,1020250008
1060353,1020250008
1060352,1020250007
1060351,1020250006
1086984,1020250005
1060350,1020250005
1060349,1020250004
1086983,1020250003
1060348,1020250003
1060347,1020250002
1060346,1020250001
1089572,1020247501
1084573,1020247501
1089573,1020240159
1060345,1020240159
1089571,1020240157
1060344,1020240157
1089570,1020240153
1060343,1020240153
1060342,1020240151
1086981,1020240149
1060341,1020240149
1086980,1020240147
1060340,1020240147
1086979,1020240144
1060339,1020240144
1060338,1020240141
1089569,1020240139
1060337,1020240139
1060336,1020240137
1060335,1020240134
1060334,1020240130
1060333,1020240129
1060332,1020240127
1060331,1020240125
1060330,1020240123
1089568,1020240119
1060329,1020240119
1089567,1020240117
1060328,1020240117
1060327,1020240115
1086978,1020240113
1060326,1020240113
1086977,1020240111
1060325,1020240111
1089566,1020240107
1060324,1020240107
1086976,1020240105
1060323,1020240105
1060322,1020240064
1060321,1020240063
1089565,1020240062
1060320,1020240062
1089564,1020240061
1060319,1020240061
1060318,1020240060
1086975,1020240059
1060317,1020240059
1086974,1020240058
1060316,1020240058
1089563,1020240056
1060314,1020240056
1060313,1020240054
1089562,1020240053
1060312,1020240053
1089561,1020240052
1060311,1020240052
1060310,1020240051
1086973,1020240050
1060309,1020240050
1060308,1020240049
1060307,1020240048
1060306,1020240047
1089559,1020240046
1060305,1020240046
1089558,1020240045
1060304,1020240045
1060303,1020240044
1060302,1020240042
1089557,1020240041
1060301,1020240041
1060300,1020240040
1089556,1020240039
1060299,1020240039
1060298,1020240038
1060297,1020240037
1060296,1020240036
1060295,1020240035
1060294,1020240034
1060293,1020240033
1060292,1020240031
1060291,1020240030
1060290,1020240029
1060289,1020240028
1060288,1020240027
1060287,1020240026
1060286,1020240025
1086972,1020240024
1060285,1020240024
1060284,1020240023
1089554,1020240021
1060283,1020240021
1086971,1020240020
1060282,1020240020
1089553,1020240019
1060281,1020240019
1089552,1020240018
1060280,1020240018
1060279,1020240017
1060278,1020240016
1060277,1020240015
1089551,1020240014
1060276,1020240014
1060275,1020240013
1060274,1020240012
1089550,1020240011
1060273,1020240011
1060272,1020240009
1089549,1020240008
1060271,1020240008
1086970,1020240007
1060270,1020240007
1086969,1020240006
1060269,1020240006
1086968,1020240005
1060268,1020240005
1060267,1020240004
1089548,1020240003
1060266,1020240003
1060265,1020240002
1060264,1020240001
1060206,1020237504
1085628,1020237503
1085627,1020237503
1085626,1020237503
1085625,1020237503
1085624,1020237503
1085623,1020237503
1085622,1020237503
1085621,1020237503
1085620,1020237503
1085619,1020237503
1085618,1020237503
1085617,1020237503
1085616,1020237503
1085615,1020237503
1085614,1020237503
1085613,1020237503
1085612,1020237503
1085611,1020237503
1085610,1020237503
1085609,1020237503
1085608,1020237503
1085607,1020237503
1085606,1020237503
1085605,1020237503
1085604,1020237503
1085603,1020237503
1085602,1020237503
1083074,1020237503
1060261,1020237502
1060258,1020237501
1060249,1020231310
1060257,1020230160
1060256,1020230153
1060255,1020230147
1060254,1020230140
1060253,1020230126
1060252,1020230124
1060251,1020230121
1089547,1020230118
1060250,1020230118
1060248,1020230110
1060247,1020230107
1089546,1020230060
1060246,1020230060
1089545,1020230059
1060245,1020230059
1060244,1020230058
1060243,1020230057
1060242,1020230056
1060241,1020230054
1060240,1020230053
1060239,1020230052
1089544,1020230051
1060238,1020230051
1089543,1020230050
1060237,1020230050
1089133,1020230049
1060236,1020230049
1060235,1020230048
1060234,1020230047
1060233,1020230046
1060232,1020230045
1060231,1020230044
1060230,1020230042
1060229,1020230041
1060228,1020230040
1060227,1020230039
1060226,1020230038
1089132,1020230037
1060225,1020230037
1060224,1020230036
1060223,1020230035
1060222,1020230034
1060221,1020230033
1060220,1020230028
1060219,1020230027
1060218,1020230026
1060217,1020230025
1060216,1020230024
1089542,1020230023
1060215,1020230023
1060214,1020230022
1060213,1020230021
1060212,1020230020
1060211,1020230019
1060210,1020230018
1060209,1020230017
1060208,1020230016
1060207,1020230015
1060205,1020230013
1060204,1020230012
1060203,1020230011
1060202,1020230009
1060201,1020230008
1060200,1020230007
1060199,1020230006
1077382,1020160101
1060198,1020160100
1084141,1020160060
1084140,1020160060
1084139,1020160060
1060197,1020160060
1089131,1020160050
1089130,1020160050
