ZoneDist1,BldgClass,YearBuilt,BBL,APPBBL
R8B,D1,2005,1003720016,0
R8B,D1,2005,1003720017,0
R8B,D1,2005,1003720018,0
R8B,C7,1920,1003720019,0
R8B,C6,1923,1003720022,0
R8B,C1,2001,1003720023,0
R8B,C4,1900,1003720024,0
R8B,D3,2007,1003720026,1003720026
R8B,C0,1901,1003720030,0
R8B,D9,2012,1003720031,1003720031
R8B,N2,1900,1003720033,0
R8A,K4,1910,1003720034,0
R8A,S2,1900,1003720036,0
R8A,S2,1910,1003720037,0
R8A,S1,1910,1003720038,0
R8A,C7,1900,1003720039,0
R8A,D7,2013,1003720041,1003720041
R8A,V1,0,1003720049,0
R8A,C7,1920,1003720051,0
R8A,E9,1964,1003720052,0
R8A,C6,1920,1003720055,0
R8A,C1,1920,1003720056,0
R8A,D7,1997,1003720060,1003720060
R8A,N2,1900,1003720064,0
R8A,C1,1905,1003720068,0
R8A,R1,2003,1003727501,1003720053
R7A,S2,1901,1003730001,0
R7A,K2,1970,1003730002,0
R8B,D3,1939,1003730008,0
R8B,V1,0,1003730010,0
R8B,V1,0,1003730011,0
R8B,V1,0,1003730012,0
R8B,C0,1899,1003730013,0
R8B,C1,1910,1003730014,0
R8B,C1,1899,1003730016,0
R8B,C1,1900,1003730017,0
R8B,N2,1900,1003730018,0
R8B,C7,1920,1003730019,0
R8B,D4,1920,1003730021,0
R8B,D9,1900,1003730023,1003730023
R8B,V1,0,1003730026,0
R8B,V1,0,1003730027,0
R8A,V1,0,1003730030,0
R8A,C4,1900,1003730032,0
R8A,C7,1900,1003730034,0
R8A,N2,1993,1003730038,1003730038
R8A,C6,1920,1003730040,0
R8B,D3,2014,1003730043,0
R8B,C6,1925,1003730046,0
R8B,C6,1920,1003730049,0
R8B,D3,2003,1003730051,1003730051
R8B,M1,1900,1003730057,0
R8B,V1,0,1003730058,0
R8B,V1,0,1003730059,0
R8B,D5,1900,1003730060,0
R8B,M1,1960,1003730061,0
R8B,C3,1900,1003730062,0
R8B,C3,1900,1003730063,0
R8B,I5,1975,1003730064,0
R7A,C4,1900,1003730069,0
R8B,R4,1920,1003737501,1003730015
R7A,C7,1900,1003740001,1003740001
R7A,C4,1920,1003740002,0
R7A,C4,1900,1003740003,0
R7A,C4,1900,1003740004,0
R7A,S3,1900,1003740005,0
R7A,C6,1910,1003740006,0
R7A,C6,1900,1003740008,0
R8B,V1,0,1003740010,0
R8B,V1,0,1003740012,0
R8B,V1,0,1003740013,0
R8B,V1,0,1003740014,0
R8B,V1,0,1003740015,0
R8B,V1,0,1003740016,0
R8B,V1,0,1003740017,0
R8B,V1,0,1003740018,0
R8B,W1,1910,1003740020,0
R8B,D1,2004,1003740025,1003740025
R8B,G7,0,1003740031,0
R8A,G7,0,1003740032,0
R8A,K1,1950,1003740034,0
R8A,K1,1900,1003740036,0
R8A,N2,1920,1003740037,1003740037
R8A,C4,1900,1003740041,0
R8B,D9,2000,1003740043,1003740043
R8B,N2,1900,1003740046,0
R8B,M1,1920,1003740047,0
R8B,V1,0,1003740059,0
R8B,V1,0,1003740060,0
R8B,V1,0,1003740062,0
R8B,V1,0,1003740064,0
R8B,C6,1900,1003740065,0
R7A,R1,1872,1003747501,1003740067
R8B,C1,1988,1003750001,1003750011
R8B,C4,1900,1003750028,0
R8B,M3,1900,1003750029,0
R8B,C6,1902,1003750030,0
R8B,B9,1899,1003750032,0
R8B,Q2,0,1003750033,0
R8B,Q2,0,1003750034,0
R8B,Q2,0,1003750035,0
R8A,C7,1910,1003750039,0
R8A,S2,1899,1003750041,0
R8A,C4,1900,1003750042,0
R8B,C9,1989,1003750045,1003750060
R8B,,0,1003750059,
,,0,1003750060,
R8B,C4,1920,1003750061,0
R8B,C4,1900,1003750062,0
R8B,C9,1989,1003750063,0
R8A,RM,2001,1003757501,1003750036
R8A,RM,2003,1003757502,1003750044
R7A,V1,0,1003760001,1003760001
R7A,S3,1900,1003760003,0
R7A,D6,1900,1003760004,0
R7A,C6,1900,1003760005,0
R7A,C4,1900,1003760007,0
R7A,C1,1900,1003760009,0
R8B,C4,1876,1003760010,0
R8B,C4,1900,1003760011,0
R8B,C6,1905,1003760013,0
R8B,C6,1928,1003760014,0
R8B,C6,1928,1003760016,0
R8B,C6,1928,1003760018,0
R8B,C6,1910,1003760019,0
R8B,C3,1900,1003760021,0
R8B,C0,1899,1003760022,0
R8B,C3,1900,1003760023,0
R8B,C0,1900,1003760024,0
R8B,C3,1900,1003760025,0
R8B,C3,1900,1003760026,0
R8B,C3,1920,1003760027,0
R8B,C4,1900,1003760028,0
R8B,C4,1910,1003760030,0
R8B,C4,1920,1003760031,0
R8A,S2,1901,1003760032,0
R8A,D7,2016,1003760033,1003760040
R8A,C7,1900,1003760039,0
R8B,C4,1900,1003760041,0
R8B,S1,1940,1003760043,0
R8B,M1,1970,1003760044,1003760044
R8B,C4,1900,1003760053,0
R8B,C4,1900,1003760054,0
R8B,D3,2004,1003760058,1003760058
R7A,L8,1910,1003760062,0
R7A,M1,1966,1003760063,0
R8A,C7,1900,1003760132,0
R7A,S2,1901,1003770001,0
R7A,C7,1900,1003770002,0
R7A,S3,1900,1003770005,0
R7A,S2,1900,1003770006,0
R7A,S3,1910,1003770007,0
R7A,S3,1900,1003770008,0
R7A,C2,2000,1003770009,0
R8B,C0,1899,1003770010,0
R8B,V1,0,1003770011,0
R8B,V1,0,1003770014,0
R8B,C6,1923,1003770016,0
R8B,V1,0,1003770018,0
R8B,V1,0,1003770020,0
R8B,V1,0,1003770022,0
R8B,V1,0,1003770024,0
R8B,V1,0,1003770025,0
R8B,D4,1900,1003770026,0
R8B,D3,2000,1003770030,1003770030
R8A,D5,1900,1003770037,0
R8A,D7,1900,1003770045,0
R8B,C2,1900,1003770050,0
R8B,C5,1900,1003770051,0
R8B,C2,1900,1003770052,0
R8B,C2,1900,1003770053,0
R8B,C6,1920,1003770054,0
R8B,C6,1900,1003770055,0
R8B,C0,1899,1003770056,1003770057
R8B,C6,1900,1003770059,0
R8B,C6,1900,1003770060,0
R8B,V1,0,1003770061,0
R8B,C6,2001,1003770062,1003770062
R8B,M1,1900,1003770064,0
R8B,G7,0,1003770065,0
R8B,C0,1899,1003770066,0
R8B,C6,1900,1003770067,0
R8B,C0,2005,1003770068,0
R7A,V1,0,1003770069,0
R7A,B1,2003,1003770070,0
R7A,V1,0,1003770071,0
R7A,B9,1901,1003770072,0
R8B,R1,1900,1003777501,1003770015
R8B,RM,2006,1003777502,1003770058
R8A,RM,2010,1003777503,1003770042
R8B,R1,2013,1003777504,1003770049
R8B,Y2,2000,1003780001,1003780001
R7A,C7,1900,1003780004,1003780004
R7A,C7,1920,1003780009,0
R8B,D6,1900,1003780010,0
R8B,C1,1994,1003780017,1003780017
R8B,E1,1989,1003780028,0
R8B,E1,1989,1003780029,0
R8B,E1,1910,1003780030,0
R8A,C7,1910,1003780031,0
R8A,D7,2016,1003780032,0
R8A,C4,1910,1003780033,0
R8A,K1,1910,1003780034,0
R8A,D6,1900,1003780035,0
R8A,C7,1900,1003780039,0
R8A,D3,0,1003780040,1003780040
R8B,M1,1937,1003780043,0
